"","ID","YEAR","MONTH","DAY","VALUE.TMAX","VALUE.TMIN","VALUE.PRCP","VALUE.AWND","VALUE.FMTM","VALUE.PGTM","VALUE.WDF2","VALUE.WDF5","VALUE.WSF2","VALUE.WSF5","VALUE.WT01","VALUE.WT02","VALUE.WT05","VALUE.WT07","VALUE.WT08","VALUE.WT09","VALUE.WT13","VALUE.WT16","VALUE.WT03","VALUE.WT22","VALUE.SNOW","VALUE.WT18","VALUE.SNWD","date"
"151388","USW00093209",2010,1,11,222,33,0,9,2225,1529,130,220,40,72,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-11 12:00:00
"151389","USW00093209",2010,1,12,189,44,23,24,1533,1428,210,300,58,80,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-12 12:00:00
"151390","USW00093209",2010,1,13,161,89,124,32,1459,1450,290,100,67,89,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-01-13 12:00:00
"151391","USW00093209",2010,1,14,156,44,0,24,1433,2148,120,110,72,40,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-14 12:00:00
"151392","USW00093209",2010,1,15,150,33,0,4,2149,1341,110,210,36,76,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-15 12:00:00
"151393","USW00093209",2010,1,16,167,44,0,15,1341,2304,220,140,63,72,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-16 12:00:00
"151394","USW00093209",2010,1,17,122,56,28,17,1539,1211,310,200,54,201,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-17 12:00:00
"151395","USW00093209",2010,1,18,144,83,140,57,1211,912,210,160,156,201,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-18 12:00:00
"151396","USW00093209",2010,1,19,128,78,208,44,913,958,170,160,148,264,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-19 12:00:00
"151397","USW00093209",2010,1,20,122,61,325,65,958,1251,160,210,206,174,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-20 12:00:00
"151398","USW00093209",2010,1,21,122,61,163,37,1252,910,210,10,112,89,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-21 12:00:00
"151399","USW00093209",2010,1,22,78,22,66,22,1249,1611,240,250,58,89,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-22 12:00:00
"151400","USW00093209",2010,1,23,128,22,0,8,1703,1822,330,90,36,76,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-01-23 12:00:00
"151401","USW00093209",2010,1,24,111,6,0,5,1918,1733,90,90,31,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-24 12:00:00
"151402","USW00093209",2010,1,25,133,33,0,19,1611,735,250,40,72,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-25 12:00:00
"151403","USW00093209",2010,1,26,117,83,53,16,1627,1612,70,230,45,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-26 12:00:00
"151404","USW00093209",2010,1,27,150,67,0,9,1725,NA,90,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-27 12:00:00
"151405","USW00093209",2010,1,28,172,33,0,8,1629,NA,90,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-28 12:00:00
"151406","USW00093209",2010,1,29,167,44,0,19,1623,NA,240,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-29 12:00:00
"151407","USW00093209",2010,1,30,150,83,5,10,2304,NA,320,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-30 12:00:00
"151408","USW00093209",2010,1,31,144,56,0,20,1045,NA,90,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-01-31 12:00:00
"151765","USW00093209",2010,2,1,150,33,0,6,2254,1037,70,140,22,98,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2010-02-01 12:00:00
"151766","USW00093209",2010,2,2,178,61,0,7,2204,931,300,130,31,45,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2010-02-02 12:00:00
"151767","USW00093209",2010,2,3,161,39,0,9,1938,1227,120,200,40,45,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,2010-02-03 12:00:00
"151768","USW00093209",2010,2,4,144,44,5,36,1849,1654,180,180,94,130,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-04 12:00:00
"151769","USW00093209",2010,2,5,167,94,66,29,1407,1405,200,210,94,116,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-05 12:00:00
"151770","USW00093209",2010,2,6,133,56,112,26,1612,1611,280,280,72,89,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-06 12:00:00
"151771","USW00093209",2010,2,7,122,22,0,24,1649,1711,340,350,72,89,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-07 12:00:00
"151772","USW00093209",2010,2,8,144,61,0,13,2058,1423,290,200,36,94,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-08 12:00:00
"151773","USW00093209",2010,2,9,117,28,28,23,1240,2115,240,100,80,36,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-09 12:00:00
"151774","USW00093209",2010,2,10,144,11,0,9,1844,1722,10,90,40,174,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-10 12:00:00
"151775","USW00093209",2010,2,11,144,39,0,4,2116,1818,90,100,31,161,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-02-11 12:00:00
"151776","USW00093209",2010,2,12,178,22,0,6,1921,1828,110,210,40,125,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-02-12 12:00:00
"151777","USW00093209",2010,2,13,183,44,0,26,1630,1257,100,210,67,80,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-02-13 12:00:00
"151778","USW00093209",2010,2,14,194,50,0,17,1532,1814,110,320,36,103,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-02-14 12:00:00
"151779","USW00093209",2010,2,15,178,33,0,15,1607,1847,100,300,67,103,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-15 12:00:00
"151780","USW00093209",2010,2,16,200,44,0,18,1559,1626,90,130,72,72,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-16 12:00:00
"151781","USW00093209",2010,2,17,228,44,0,7,1735,840,170,100,54,89,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-17 12:00:00
"151782","USW00093209",2010,2,18,194,33,0,25,1828,1501,210,200,98,116,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-18 12:00:00
"151783","USW00093209",2010,2,19,144,94,53,19,1316,2255,210,140,63,94,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-19 12:00:00
"151784","USW00093209",2010,2,20,150,78,0,20,1814,1449,320,210,80,116,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-20 12:00:00
"151785","USW00093209",2010,2,21,128,83,5,29,1849,439,330,260,80,134,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-21 12:00:00
"151786","USW00093209",2010,2,22,144,61,0,21,1346,1708,110,300,63,76,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-22 12:00:00
"151787","USW00093209",2010,2,23,117,28,8,6,1602,NA,280,NA,36,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-23 12:00:00
"151788","USW00093209",2010,2,24,178,83,30,38,1503,NA,210,NA,94,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-24 12:00:00
"151789","USW00093209",2010,2,25,172,83,0,24,1316,NA,90,NA,58,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-02-25 12:00:00
"151790","USW00093209",2010,2,26,161,61,224,35,1420,NA,230,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-26 12:00:00
"151791","USW00093209",2010,2,27,128,72,150,29,440,NA,260,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-27 12:00:00
"151792","USW00093209",2010,2,28,172,56,0,6,1922,NA,90,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-28 12:00:00
"152131","USW00093209",2010,3,1,156,67,0,16,1414,945,190,30,58,125,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-03-01 12:00:00
"152132","USW00093209",2010,3,2,144,67,3,26,1145,1133,200,190,76,98,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-03-02 12:00:00
"152133","USW00093209",2010,3,3,133,28,43,27,1141,1140,200,190,103,130,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-03-03 12:00:00
"152134","USW00093209",2010,3,4,139,28,0,19,1642,1745,70,60,67,183,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-03-04 12:00:00
"152135","USW00093209",2010,3,5,150,6,0,12,1709,1513,230,40,45,80,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-03-05 12:00:00
"152136","USW00093209",2010,3,6,150,61,0,14,1348,1419,70,100,63,76,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-03-06 12:00:00
"152137","USW00093209",2010,3,7,172,50,0,22,2030,2017,320,320,80,107,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-03-07 12:00:00
"152138","USW00093209",2010,3,8,144,28,0,34,1601,1640,330,330,103,116,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-03-08 12:00:00
"152139","USW00093209",2010,3,9,133,0,0,50,2015,2014,330,330,103,139,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-03-09 12:00:00
"152140","USW00093209",2010,3,10,139,22,3,30,1106,1105,320,320,80,103,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-03-10 12:00:00
"152141","USW00093209",2010,3,11,161,-6,0,15,1436,1751,100,90,54,103,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2010-03-11 12:00:00
"152142","USW00093209",2010,3,12,183,22,0,26,1258,1254,200,200,80,107,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2010-03-12 12:00:00
"152143","USW00093209",2010,3,13,150,33,0,43,1508,1450,340,350,80,107,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2010-03-13 12:00:00
"152144","USW00093209",2010,3,14,178,-11,0,13,1944,1936,100,90,54,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-14 12:00:00
"152145","USW00093209",2010,3,15,239,17,0,6,2211,1743,90,190,27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-15 12:00:00
"152146","USW00093209",2010,3,16,261,39,0,5,2027,912,290,330,40,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-16 12:00:00
"152147","USW00093209",2010,3,17,244,56,0,14,1251,1206,80,100,63,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-17 12:00:00
"152148","USW00093209",2010,3,18,244,50,0,12,1901,1836,320,340,45,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-18 12:00:00
"152149","USW00093209",2010,3,19,261,39,0,11,1632,1633,210,220,54,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-19 12:00:00
"152150","USW00093209",2010,3,20,256,28,0,9,1742,1654,200,250,45,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-20 12:00:00
"152151","USW00093209",2010,3,21,217,17,0,18,1624,1624,240,220,80,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-21 12:00:00
"152152","USW00093209",2010,3,22,217,39,0,20,2133,2127,330,340,58,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-22 12:00:00
"152153","USW00093209",2010,3,23,228,33,0,7,1929,39,170,310,31,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-23 12:00:00
"152154","USW00093209",2010,3,24,211,28,0,26,1408,1803,200,220,89,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-24 12:00:00
"152155","USW00093209",2010,3,25,183,39,0,42,1940,1914,330,310,94,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-25 12:00:00
"152156","USW00093209",2010,3,26,194,22,0,20,1744,1111,120,50,63,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-26 12:00:00
"152157","USW00093209",2010,3,27,233,11,0,13,1112,1644,80,210,63,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-27 12:00:00
"152158","USW00093209",2010,3,28,244,22,0,14,1645,1704,200,270,67,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-28 12:00:00
"152159","USW00093209",2010,3,29,228,6,0,18,1703,1032,260,260,89,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-29 12:00:00
"152160","USW00093209",2010,3,30,172,89,3,37,1032,1528,260,200,94,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-30 12:00:00
"152161","USW00093209",2010,3,31,156,61,5,31,1612,NA,200,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-31 12:00:00
"152490","USW00093209",2010,4,1,167,61,0,27,1757,1901,330,320,80,107,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-04-01 12:00:00
"152491","USW00093209",2010,4,2,183,17,0,22,1128,1012,300,350,49,89,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-04-02 12:00:00
"152492","USW00093209",2010,4,3,156,39,0,37,840,2354,310,200,67,134,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-04-03 12:00:00
"152493","USW00093209",2010,4,4,139,0,36,34,2355,2354,190,200,98,134,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-04 12:00:00
"152494","USW00093209",2010,4,5,161,61,51,36,317,1642,260,90,103,89,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-05 12:00:00
"152495","USW00093209",2010,4,6,183,6,0,17,1643,1556,90,110,67,139,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-06 12:00:00
"152496","USW00093209",2010,4,7,233,17,0,17,1312,2003,100,310,67,103,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-07 12:00:00
"152497","USW00093209",2010,4,8,244,33,0,26,2004,1532,310,210,80,94,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-08 12:00:00
"152498","USW00093209",2010,4,9,233,28,0,23,1529,932,210,210,76,103,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-09 12:00:00
"152499","USW00093209",2010,4,10,139,89,0,32,1337,1125,230,160,76,192,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-10 12:00:00
"152500","USW00093209",2010,4,11,172,67,234,52,1312,1520,190,240,139,116,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-04-11 12:00:00
"152501","USW00093209",2010,4,12,139,67,36,34,1623,2255,240,310,94,58,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-04-12 12:00:00
"152502","USW00093209",2010,4,13,178,39,0,14,2051,1755,310,210,54,76,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-04-13 12:00:00
"152503","USW00093209",2010,4,14,194,33,0,17,1755,1424,210,290,63,143,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-04-14 12:00:00
"152504","USW00093209",2010,4,15,222,39,0,22,1647,2159,200,320,67,98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-15 12:00:00
"152505","USW00093209",2010,4,16,217,44,0,22,2254,1743,320,350,72,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-16 12:00:00
"152506","USW00093209",2010,4,17,244,44,0,14,1210,1615,110,210,54,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-17 12:00:00
"152507","USW00093209",2010,4,18,239,61,0,17,1658,1426,210,220,72,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-18 12:00:00
"152508","USW00093209",2010,4,19,222,72,0,34,1517,1329,210,290,76,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-19 12:00:00
"152509","USW00093209",2010,4,20,161,50,33,35,1503,1308,330,330,107,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-20 12:00:00
"152510","USW00093209",2010,4,21,133,33,25,21,1247,1716,340,200,94,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-21 12:00:00
"152511","USW00093209",2010,4,22,144,39,3,14,739,1843,90,320,58,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-22 12:00:00
"152512","USW00093209",2010,4,23,228,39,0,17,1716,2029,200,300,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-23 12:00:00
"152513","USW00093209",2010,4,24,250,78,0,31,1654,1249,320,240,80,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-24 12:00:00
"152514","USW00093209",2010,4,25,283,50,0,13,1419,1542,20,270,58,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-25 12:00:00
"152515","USW00093209",2010,4,26,294,56,0,19,1949,1643,310,330,76,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-26 12:00:00
"152516","USW00093209",2010,4,27,189,61,3,33,1257,1741,220,350,103,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-27 12:00:00
"152517","USW00093209",2010,4,28,189,56,0,35,1542,NA,270,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-28 12:00:00
"152518","USW00093209",2010,4,29,183,39,0,56,1750,NA,330,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-29 12:00:00
"152519","USW00093209",2010,4,30,217,44,0,38,1749,NA,340,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-04-30 12:00:00
"152837","USW00093209",2010,5,1,250,17,0,29,2056,2057,310,310,98,116,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2010-05-01 12:00:00
"152838","USW00093209",2010,5,2,272,72,0,22,1739,1749,330,330,67,76,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-05-02 12:00:00
"152839","USW00093209",2010,5,3,283,50,0,26,1552,1630,200,180,80,103,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-05-03 12:00:00
"152840","USW00093209",2010,5,4,289,67,0,32,1817,1814,320,330,98,130,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2010-05-04 12:00:00
"152841","USW00093209",2010,5,5,256,56,0,46,1657,1701,310,310,107,130,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-05-05 12:00:00
"152842","USW00093209",2010,5,6,256,28,0,26,1742,1741,330,330,72,89,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-05-06 12:00:00
"152843","USW00093209",2010,5,7,278,28,0,29,618,618,310,310,63,94,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2010-05-07 12:00:00
"152844","USW00093209",2010,5,8,261,39,0,33,1830,1818,300,290,80,103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-08 12:00:00
"152845","USW00093209",2010,5,9,206,83,0,42,1458,1354,300,270,89,112,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-09 12:00:00
"152846","USW00093209",2010,5,10,194,39,0,32,1636,1624,270,260,107,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-10 12:00:00
"152847","USW00093209",2010,5,11,217,11,0,34,1818,1817,330,330,103,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-11 12:00:00
"152848","USW00093209",2010,5,12,267,28,0,29,1619,1848,200,240,80,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-12 12:00:00
"152849","USW00093209",2010,5,13,278,83,0,30,1852,1518,320,250,80,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-13 12:00:00
"152850","USW00093209",2010,5,14,300,72,0,22,2028,1800,310,310,63,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-14 12:00:00
"152851","USW00093209",2010,5,15,311,89,0,22,1508,1515,210,210,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-15 12:00:00
"152852","USW00093209",2010,5,16,250,83,0,36,1706,705,190,220,98,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-16 12:00:00
"152853","USW00093209",2010,5,17,167,89,5,26,1505,521,210,170,67,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-17 12:00:00
"152854","USW00093209",2010,5,18,228,117,5,28,2124,2124,320,320,80,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-18 12:00:00
"152855","USW00093209",2010,5,19,294,67,0,35,1822,601,320,320,94,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-19 12:00:00
"152856","USW00093209",2010,5,20,278,106,0,52,1813,709,330,340,94,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-20 12:00:00
"152857","USW00093209",2010,5,21,228,72,0,73,1655,1803,340,320,130,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-21 12:00:00
"152858","USW00093209",2010,5,22,200,61,0,67,1754,2338,330,240,112,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-22 12:00:00
"152859","USW00093209",2010,5,23,211,44,0,57,1226,1851,320,320,107,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-23 12:00:00
"152860","USW00093209",2010,5,24,206,56,0,27,1527,2028,230,210,63,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-24 12:00:00
"152861","USW00093209",2010,5,25,222,33,0,26,1349,1348,230,240,94,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-25 12:00:00
"152862","USW00093209",2010,5,26,211,89,5,32,1457,2021,230,190,80,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-26 12:00:00
"152863","USW00093209",2010,5,27,200,61,0,31,1337,250,210,30,89,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-27 12:00:00
"152864","USW00093209",2010,5,28,233,50,0,47,1801,2215,330,350,103,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-28 12:00:00
"152865","USW00093209",2010,5,29,306,44,0,23,1635,425,350,140,67,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-29 12:00:00
"152866","USW00093209",2010,5,30,339,61,0,25,1957,1146,300,70,76,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-30 12:00:00
"152867","USW00093209",2010,5,31,328,83,0,38,2150,1810,300,320,76,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-05-31 12:00:00
"153174","USW00093209",2010,6,1,283,133,0,51,2025,2019,320,320,103,130,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2010-06-01 12:00:00
